t,Ax,Ay,Az,wx,wy,wz,Bx,By,Bz,qw,qx,qy,qz,
34.7557075,-0.15,1.37,9.36,-3.5,18.75,3.5,13.5,5.5,-45.06,-0.93,-0.07,-0.04,-0.36,
35.08061147,-1.51,1.24,9.47,-2.31,-1.56,8.19,18.69,6.19,-43.56,-0.92,-0.04,-0.09,-0.38,
35.40696168,-0.2,1.21,9.33,-0.31,-6.81,9,15.69,5.75,-44.69,-0.91,-0.05,-0.05,-0.41,
35.73212504,-0.84,1.36,9.56,-2.06,19.81,6.56,17.19,5.75,-44.69,-0.9,-0.04,-0.07,-0.43,
36.05790353,-1.12,1.08,9.35,0.5,-16.19,12.38,20.5,4.69,-43.06,-0.89,-0.03,-0.08,-0.45,
36.38310957,-0.4,1.29,9.62,0.38,2.25,11.06,17.5,3.25,-45.5,-0.87,-0.05,-0.05,-0.48,
36.70896292,-1.03,1.24,9.17,-0.94,7.69,11.13,19,2.06,-43.88,-0.86,-0.04,-0.08,-0.51,
37.03486729,-0.84,1.33,9.71,-0.75,2.69,11.44,21.38,0.56,-42.69,-0.84,-0.03,-0.08,-0.54,
37.36117554,-0.49,1.19,9.1,-0.81,-2.94,14.31,20.56,-0.5,-41.56,-0.82,-0.04,-0.07,-0.57,
37.68559027,-1.15,1.34,9.75,-2.13,5.25,12.75,21.69,-1.56,-41.56,-0.8,-0.03,-0.08,-0.6,
38.01275706,-0.72,1.17,9.34,0.25,-3.31,13.63,20.88,-3.06,-42.25,-0.77,-0.03,-0.07,-0.63,
38.33798051,-0.67,1.17,9.39,-0.06,10.5,12.5,20.19,-4.88,-42.69,-0.75,-0.03,-0.08,-0.66,
38.66399336,-1.1,1.37,9.53,1.38,-0.31,13.69,22.5,-5.69,-40.38,-0.72,-0.02,-0.09,-0.68,
38.98909402,-0.51,1.28,9.23,-2.44,-1.19,14.63,20.25,-7.19,-41.06,-0.7,-0.03,-0.08,-0.71,
39.31518006,-1.08,1.35,9.65,-5.19,2.56,12.31,20.88,-7.88,-40,-0.67,-0.01,-0.08,-0.74,
