t,Ax,Ay,Az,wx,wy,wz,Bx,By,Bz,qw,qx,qy,qz
66988.38997,-0.68,-0.36,9.6,0,-0.06,-0.06,-7,33.25,-41.06,1,-0.02,0.04,0
67315.28091,-0.67,-0.34,9.57,-0.06,0.06,0,-8.06,33,-42.69,1,-0.02,0.04,0
67640.64479,-0.66,-0.34,9.58,0.06,-0.13,0.06,-7.75,32.56,-42.69,1,-0.02,0.04,0
67966.92562,-0.67,-0.36,9.58,-0.13,0.06,0,-7.38,33.69,-41.88,1,-0.02,0.04,0
68619.44008,-0.69,-0.36,9.57,-0.06,-0.31,-0.13,-8.06,33.25,-41.06,1,-0.02,0.04,0
68943.56966,-0.67,-0.35,9.55,-0.06,-0.13,0.06,-7.38,33.25,-41.56,1,-0.02,0.04,0
69270.29514,-0.67,-0.35,9.55,-0.06,-0.13,6,-7.75,33,-41.88,1,-0.02,0.04,0
69595.17217,-0.66,-0.33,9.58,0,-0.19,-0.06,-7.75,33.69,-43.5,1,-0.02,0.04,0
69922.07599,-0.66,-0.35,9.57,-0.13,0,0,-7.38,33,-41.88,1,-0.02,0.04,0
70246.6619,-0.67,-0.35,9.55,-0.06,0.06,0.06,-7.75,33,-42.25,1,-0.02,0.04,0
70574.07212,-0.67,-0.34,9.55,-0.06,-0.31,0,-7.38,33,-43.06,1,-0.02,0.04,0
70898.29135,-0.67,-0.35,9.58,0,-0.06,0.06,-6.56,33.25,-42.25,1,-0.02,0.04,0
71225.77333,-0.69,-0.35,9.59,-0.13,-0.06,-0.13,-7.38,33.25,-42.69,1,-0.02,0.04,0
71550.28844,-0.67,-0.37,9.6,0.19,0.13,0.06,-7.38,33,-42.69,1,-0.02,0.04,0
71877.13838,-0.67,-0.35,9.56,0.06,-0.06,-0.06,-7,33.69,-42.25,1,-0.02,0.04,0
72201.3948,-0.67,-0.36,9.58,0.06,0.06,0,-7,33,-41.88,1,-0.02,0.04,0
72528.16367,-0.69,-0.34,9.58,0,0.13,0.06,-7,33.25,-42.25,1,-0.02,0.04,0
72853.30653,-0.69,-0.36,9.56,0,0.06,-0.06,-7.38,33.25,-42.25,1,-0.02,0.04,0
73180.16696,-0.67,-0.37,9.57,0.13,-0.19,0.06,-8.06,33.25,-42.25,1,-0.02,0.04,0
73504.96054,-0.67,-0.37,9.56,0.13,0.06,0.06,-7.38,33,-41.88,1,-0.02,0.04,0
73832.98302,-0.67,-0.35,9.59,-0.06,-0.13,0.06,-8.06,33.25,-41.88,1,-0.02,0.04,0
74156.61097,-0.68,-0.35,9.58,0.06,0,-0.06,-7.38,33.25,-42.69,1,-0.02,0.04,0
74484.02476,-0.65,-0.37,9.6,-0.06,-0.13,-0.19,-7.75,33,-40.75,1,-0.02,0.04,0
74809.63922,-0.69,-0.37,9.55,0.06,0.13,0,-7.38,33,-42.75,1,-0.02,0.04,0
75135.45799,-0.67,-0.35,9.6,0,0.06,0,-7.75,33.25,-42.25,1,-0.02,0.04,0
75460.4671,-0.69,-0.38,9.52,0.06,-0.31,0.06,-7.38,33.25,-41.88,1,-0.02,0.04,0
75787.48965,-0.82,-0.2,9.5,0.31,0.75,0,-7.38,32.56,-41.56,1,-0.02,0.04,0
76112.21504,-0.7,-0.33,9.54,-0.06,-0.31,0.06,-7,33,-42.69,1,-0.02,0.04,0
76439.73231,-0.66,-0.34,9.58,-0.06,-0.31,0,-7,32.56,-42.25,1,-0.02,0.04,0
76764.06074,-0.63,-0.38,9.59,-0.06,-0.19,0.06,-8.06,33.25,-41.88,1,-0.02,0.04,0
77091.51173,-0.68,-0.35,9.56,0.06,-0.13,0,-7.75,33,-42.69,1,-0.02,0.04,0
